"","rownames(int_B_sect_strand_share)","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"A","A",NA,0.0017943416502382,NA,0.000960023210603801,NA,0.000128251420663397,0.00135574061205792,NA,NA,NA
"A01","A01",0.000663150467739972,NA,0.00869917968961162,NA,0.0339520234814008,NA,NA,0.0119838102880583,0.00958772165379027,0.024963595171138
"A02","A02",0.000218542591045007,NA,0.0055110274842488,NA,0.0202069846778211,NA,NA,0.00355543518139718,0.00498211892886875,0.0291499335518667
"A03","A03",0.000625010630564823,NA,0.0708899369515715,NA,0.028434234455225,NA,NA,0.0228781932641923,0.0113623085027094,0.0423688435752467
"B","B",0.159501472668123,0.00129485365812026,0.608687345470295,0.296472087741313,0.486897596541129,0.213874055838848,0.106788933712141,0.0139980454885941,0.150896157228843,0.692774790972875
"C","C",NA,NA,NA,0.0283572597981382,NA,NA,NA,NA,NA,NA
"C10-12","C10-12",0.0079296397489695,0.0057541129434256,0.0134764541016421,NA,0.0178973432177755,0.0105307634794551,0.0149348359842962,0.00663079904765972,0.0236991915211716,0.0159871510925591
"C13-15","C13-15",0.00626521716695078,0.00747322721141038,0.0181185717584473,NA,0.0110431400325168,0.00759250472712652,0.0113521035956034,0.00630764517268674,0.0123754887534532,0.00852094881909977
"C16-18","C16-18",NA,0.00667929998400273,NA,NA,NA,0.0127643836947993,0.0208297609496957,NA,NA,NA
"C16","C16",0.00802637756176743,NA,0.0193222908498409,NA,0.0161274769484132,NA,NA,0.00801363702734435,0.0183876611266834,0.0143068540077284
"C17","C17",0.01964530569674,NA,0.0206484120585573,NA,0.0121083375708455,NA,NA,0.0120381757641355,0.0247316711094673,0.0305630583757447
"C18","C18",0.00603839631457096,NA,0.0126507711597313,NA,0.00756652581577936,NA,NA,0.00523242429871238,0.0152308906885959,0.00960196752538479
"C19","C19",0.345582367284098,0.32980632356282,0.391356719932984,NA,0.496722732193044,0.282162393735219,0.340901069326723,0.303983047889663,0.445104052614446,0.303651069135832
"C20-21","C20-21",NA,NA,NA,NA,NA,NA,NA,0.0334774460773367,NA,NA
"C20","C20",0.0546217923038975,0.0468410644474762,0.05637148770626,NA,0.0643750258086686,0.0444285544972479,0.0620135555580502,NA,0.0862740342921625,0.0285757669521638
"C21","C21",0.00677603497899614,0.00414795842243426,0.00874214839182323,NA,0.0131952795434164,0.00659141199803815,0.0119653001548626,NA,0.0179715050594891,0.00621173662025322
"C22-23","C22-23",NA,0.0345380062073569,NA,NA,NA,0.0211205394859452,0.0485565093515397,NA,NA,NA
"C22","C22",0.0119245482365158,NA,0.0180321691217739,NA,0.0208058959832312,NA,NA,0.0090245457023327,0.0214970728851019,0.0164289830982024
"C23","C23",0.0445193610426692,NA,0.0421277785695587,NA,0.134704993834437,NA,NA,0.0305031437997349,0.0813904284209719,0.0679000803757926
"C24-25","C24-25",NA,0.0340391690099889,NA,NA,NA,0.02382560314724,0.0323229838605187,NA,NA,NA
"C24","C24",0.0554310498777056,NA,0.103399417213045,NA,0.0415857822016143,NA,NA,0.0841947467943842,0.170979313317349,0.0591827398595305
"C25","C25",0.0112630680862,NA,0.017587678025961,NA,0.0212882626064028,NA,NA,0.0139022223139384,0.0219652770018849,0.0148674479979599
"C26","C26",0.00500544738019986,0.00448848560269476,0.00611811356533681,NA,0.00762132245319123,0.00526124688589158,0.00915768173364839,0.00233050574288393,0.00964630845306562,0.00741654847752058
"C27","C27",0.00780634802032955,0.0090367259067541,0.0167199785038081,NA,0.0172955927779539,0.00798024708675956,0.0143287325576649,0.0117175028659814,0.017128353714797,0.0115843174114575
