"","rownames(int_B_sect_stranding)","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"A","A",NA,12.7631521581443,NA,127.929812975431,NA,11.5036394278241,274.465619689289,NA,NA,NA
"A01","A01",23.3860012448501,NA,69.6804293137891,NA,503.915932510951,NA,NA,217.937573898629,57.8331370156629,698.007084580188
"A02","A02",0.696276695069391,NA,7.12024750964945,NA,9.84080153809889,NA,NA,19.1815728036378,7.36855389579688,40.226908301576
"A03","A03",0.235629007722938,NA,4.74962577575529,NA,54.5368616851215,NA,NA,4.43836949325331,0.0340869255081283,48.5970635808079
"B","B",431.929987985277,1.03329321917997,4075.77046526909,3629.11482604142,1312.67592027488,3643.77228932645,2252.17861198905,55.3062777254354,473.210349069653,45900.4865506988
"C","C",NA,NA,NA,12702.2375249388,NA,NA,NA,NA,NA,NA
"C10-12","C10-12",75.6329039256711,84.3265251859022,125.614028681406,NA,94.5337668762902,390.143725386852,711.017671540376,47.2046584202896,91.1944889734683,687.271638318023
"C13-15","C13-15",12.7559821519118,26.2609204208961,49.4999380440781,NA,22.1525389052288,26.8774667340279,260.303735447187,7.43040601342499,12.1279789783842,47.9473790050744
"C16-18","C16-18",NA,60.8083470543608,NA,NA,NA,213.726840585719,537.137045609803,NA,NA,NA
"C16","C16",36.1989628035711,NA,44.7697478990813,NA,8.03148352030977,NA,NA,40.1643487810499,16.6224456585218,43.1780853953242
"C17","C17",78.2668978958122,NA,46.1285525388171,NA,6.97440244080698,NA,NA,129.145549597646,59.3065473205026,182.155827919438
"C18","C18",13.3086254773144,NA,15.6110516111084,NA,3.66976502065299,NA,NA,8.3247870592514,7.58498356292074,121.455287228592
"C19","C19",441.999847756362,970.949816568941,580.382015660615,NA,1197.10178458524,985.875403710854,10052.8316333757,371.163301473278,1517.35971536265,1715.32488954831
"C20-21","C20-21",NA,NA,NA,NA,NA,NA,NA,298.585341563766,NA,NA
"C20","C20",197.676266347805,638.81843693468,291.891563343014,NA,65.5337762732246,774.25641922354,1736.19351495873,NA,212.406672427304,756.057642020351
"C21","C21",17.0010717623013,23.9834955985149,10.4730937734042,NA,7.94355828513664,48.4600610095764,132.958415320833,NA,10.6031879850986,68.2421385101018
"C22-23","C22-23",NA,343.204167682505,NA,NA,NA,323.77787031954,2263.02467483786,NA,NA,NA
"C22","C22",33.543754189319,NA,81.9381764893408,NA,24.4053159883302,NA,NA,21.4603696801472,44.6494203823567,182.739579001306
"C23","C23",245.435237428235,NA,288.659538758616,NA,197.746930948954,NA,NA,73.8176079953585,235.218338136609,642.606360676501
"C24-25","C24-25",NA,422.392048244952,NA,NA,NA,761.89513744244,2280.67741821434,NA,NA,NA
"C24","C24",354.703288167438,NA,639.11179779383,NA,92.5283653985918,NA,NA,505.336870259894,689.046632668917,1874.55410231077
"C25","C25",75.6427652669195,NA,132.575916959694,NA,40.2135280634949,NA,NA,77.6995205126019,52.9582828515444,247.245660206073
"C26","C26",18.2298393586879,12.6575293995992,30.2907802619826,NA,2.11110631953397,27.611023657159,110.011230666318,7.21990679145441,15.3086915150151,82.8799292362924
"C27","C27",23.0521457040332,18.5795084642864,62.5995995182575,NA,10.3427644812164,23.166657292863,234.045517596898,18.3964794995907,32.1841766301035,90.9368916799417
"C28","C28",25.595742534094,17.8997789677724,143.900661465264,NA,10.72176941223,50.3796356496122,594.241720495592,48.2309919358692,75.3349722739469,130.511515790657
"C29-30","C29-30",NA,29.9531376057549,NA,NA,NA,171.772993057149,397.511378879609,NA,NA,NA
"C29","C29",21.4928593884371,NA,159.84010623444,NA,1.21771993789092,NA,NA,67.3305482930486,120.520122814952,289.910168194709
"C30","C30",2.54915657615801,NA,13.9337657578008,NA,2.76874826013425,NA,NA,6.1643194522035,5.46481121014872,78.1705137103376
"C31_32","C31_32",29.7346507918748,NA,33.5610034461427,NA,9.67556673346804,NA,NA,15.3928940375168,12.5537435656211,87.1576660883304
"C31-33","C31-33",NA,42.1044362415207,NA,NA,NA,79.0396906846375,466.460678102703,NA,NA,NA
"C33","C33",2.86177117141553,NA,21.5033046090015,NA,2.4482811720354,NA,NA,18.7374305793385,9.74485397104704,56.5181372082819
"D","D",3314.92048868396,285.093109163413,6717.73811934238,21626.6954346154,2683.03554537622,21913.3378159821,30565.3318779488,1855.50484753515,13458.3737680345,28384.0695333991
"E","E",NA,28.8046013469772,NA,530.230134279886,NA,9.31927845963921,7.86808525232509,NA,NA,NA
"E36","E36",5.80504978843826,NA,87.9581539485117,NA,76.4790902804761,NA,NA,5.44527797318066,126.766651570351,0
"E37-39","E37-39",14.1633072021133,NA,41.6883676730494,NA,21.3602064644486,NA,NA,1.38251631126251,8.71971363651125,0
"F","F",5.81241692383111,0.165865791972771,16.7688072275141,54.1429018345553,0.257736669538031,0.257767458958543,22.8635285171263,2.82919804667723,1.14550590906549,33.1223896807471
"G","G",NA,10.2153639953043,NA,45.9001239854458,NA,3.25486387991908,671.235989440259,NA,NA,NA
"G45","G45",0.480490895658883,NA,24.4667479521504,NA,0.0122307324114603,NA,NA,0.0218354855749588,1.48573210566523,0.765883220629342
"G46","G46",1.83520807278652,NA,146.82006506062,NA,0.168317092495635,NA,NA,NA,4.89429669821417,3.88210950885937
"G47","G47",1.81007765917449,NA,NA,NA,0.0661454512954344,NA,NA,NA,7.19370532767408,8.81205646670314
"H","H",NA,63.168149942411,NA,233.410309927576,NA,64.4108406215791,231.900094340729,NA,NA,NA
"H49","H49",20.4341408419178,NA,496.994009205087,NA,593.220625857783,NA,NA,3.4741204723022,152.578864286417,210.752939327114
"H50","H50",0.0800284151282209,NA,2.72994230349504,NA,799.946008291298,NA,NA,2.29055066821008,6.7449365130499,2.16029319857294
"H51","H51",3.13955416280754,NA,44.1515772972309,NA,47.1564924014061,NA,NA,1.43061693380939,2.58243995790431,58.4741855601308
"H52-53","H52-53",NA,NA,NA,NA,NA,NA,NA,2.12175546867025,NA,NA
"H52","H52",11.0468422420499,NA,698.813870105265,NA,55.0751160990783,NA,NA,NA,345.597438546527,65.3758497726725
"H53","H53",0.113880164481311,NA,5.84957149889073,NA,27.6104112633523,NA,NA,NA,6.69597766096546,1.99966411805087
"I","I",3.83139108852026,12.6849088236484,68.626344394903,25.7104443850232,17.7704387110346,198.692927815518,0.535812791788594,0.0316131007544922,3.66528206901087,83.1382776931599
"J","J",NA,NA,NA,146.515985605851,NA,NA,NA,NA,NA,NA
"J58-60","J58-60",NA,3.66754903879608,NA,NA,NA,5.51906519962502,20.1382872346585,NA,NA,NA
"J58","J58",0.214634316995812,NA,5.50287964572423,NA,11.7481029756566,NA,NA,0.0547029375318786,0.63311029084776,19.0591317283778
"J59_60","J59_60",0.264167820420663,NA,4.19594820477106,NA,11.5994434963178,NA,NA,0.0118227503331187,6.64341319600915,46.291378711758
"J61","J61",5.66799407103527,8.91266910335376,59.4191044137506,NA,64.8703217812274,22.0202703126692,51.6454133869695,0.737627557538846,36.9515720884643,208.366619150923
"J62_63","J62_63",0.267455649287098,4.23928082813374,4.02488650783719,NA,4.72115237634081,1.59699513245436,16.9507171432392,0.103763225019325,1.62339020901978,48.9603029622875
"K","K",NA,0.00307698654426266,NA,3.16822434590341,NA,0.42890786709403,14.5219398872624,NA,NA,NA
"K64","K64",0.273714937627007,NA,24.7089627200001,NA,5.38496982119438,NA,NA,0.819107555574179,2.25970271960651,12.4707531016858
"K65","K65",0.0780475287155025,NA,15.8467749546445,NA,1.15664080368374,NA,NA,1.84342922188812,0.525768612419993,16.3046858322827
"K66","K66",0.00543258786962152,NA,1.76927278578576,NA,1.32899084042909,NA,NA,0.241508099058844,0.0356041853525298,2.33606815140911
"L","L",67.0938896786338,0.0246559004623285,165.041870376773,62.3125592280308,0.289742372214154,616.95757932904,68.1746630219487,2.81326269870049,107.120095275615,40.4910142682299
"M","M",NA,NA,NA,109.195427835333,NA,NA,NA,NA,NA,NA
"M69_70","M69_70",1.8228311253289,NA,4.26940694653888,NA,2.10724736928382,NA,NA,0.318390003230214,1.67661512982686,21.1190106388903
"M69-71","M69-71",NA,9.70820957682766,NA,NA,NA,6.87575534545024,0.354841484665176,NA,NA,NA
"M71-72","M71-72",NA,NA,NA,NA,NA,NA,NA,0.342564652606555,NA,NA
"M71","M71",2.02399056765788,NA,22.2645060361096,NA,1.44217032381422,NA,NA,NA,5.83706281671033,23.3279418153272
"M72","M72",0.365043128965698,0.800175696226661,2.19638301845191,NA,1.63843939883184,7.83711421581717,0.280868915817548,NA,3.556267477842,17.5615961761109
"M73","M73",0.453187502163248,NA,2.0921780495608,NA,1.06351697208161,NA,NA,0.0326039407361537,0.553224789401811,5.25976695052923
"M73-75","M73-75",NA,2.29814724523534,NA,NA,NA,1.74879440500927,0.164767400230621,NA,NA,NA
"M74_75","M74_75",0.675670678592538,NA,7.28188114294534,NA,0.45133761551508,NA,NA,0.0386157534427829,3.4106433360045,6.87632138140554
"N","N",NA,0.155990600423619,NA,692.554454575784,NA,12.1463973315282,103.315050679577,NA,NA,NA
"N77","N77",7.60793808077403,NA,0.100981838783431,NA,91.5670667516011,NA,NA,0.156434439332163,7.46848489787646,190.365972135341
"N78","N78",0.0185846353145902,NA,0.00534015564086786,NA,0.0761986329771925,NA,NA,0.00631949768914763,0.121059730182005,10.3897027759036
"N79","N79",0.828793675325253,NA,0.0414523262827484,NA,9.83917515088408,NA,NA,0.0144335644545214,0.203559424171622,19.4276648313593
"N80-82","N80-82",2.12335744611235,NA,0.0879706970681831,NA,10.6336990625565,NA,NA,0.0730614390652195,4.17960459868116,87.0390294859763
"O","O",0.000970280918291178,25.4868852054965,1268.61596167587,145.16176202695,394.751164599381,4416.08448424893,3900.70680687106,11.9076821689943,419.75894139341,123.361636555137
