"","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"1","E36 (3.64)","M69-71 (0.91)","H50 (3.93)","N (1.12)","M74_75 (1.57)","B (1.02)","B (1.79)","S95 (1.68)","H50 (6.3)","C23 (1.45)"
"2","E37-39 (2.44)","N (0.81)","H53 (3.08)","B (0.89)","N77 (1.5)","N (0.83)","C19 (1.29)","E36 (1.58)","B (4.03)","N77 (1.43)"
"3","N78 (2.05)","M73-75 (0.71)","N80-82 (3.02)","M (0.73)","C18 (1.5)","M73-75 (0.77)","M69-71 (1.28)","C33 (1.45)","C33 (3.51)","N79 (1.42)"
"4","N80-82 (1.89)","J62_63 (0.59)","M74_75 (2.85)","J (0.72)","N80-82 (1.48)","E (0.74)","N (1.19)","N80-82 (1.25)","M74_75 (3.4)","C33 (1.37)"
"5","B (1.86)","K (0.56)","B (2.12)","D (0.68)","C33 (1.47)","K (0.67)","D (1.14)","E37-39 (1.23)","M71 (2.51)","C16 (1.34)"
"6","M74_75 (1.76)","C16-18 (0.55)","C18 (1.86)","H (0.63)","N78 (1.4)","M69-71 (0.62)","M73-75 (1.1)","K66 (1.23)","N80-82 (2.51)","H52 (1.14)"
"7","M73 (1.55)","J58-60 (0.54)","K64 (1.81)","K (0.63)","H52 (1.28)","C16-18 (0.6)","E (1.09)","N78 (1.18)","H53 (2.26)","N78 (1.1)"
"8","K64 (1.54)","E (0.53)","N77 (1.72)","E (0.61)","M71 (1.24)","C19 (0.53)","K (0.99)","M74_75 (1.15)","M69_70 (2.22)","A02 (1.08)"
"9","M69_70 (1.51)","J61 (0.5)","M73 (1.6)","F (0.52)","H53 (1.18)","C20 (0.49)","C16-18 (0.97)","C18 (1.08)","H51 (2.2)","B (1.08)"
"10","C33 (1.5)","D (0.48)","M69_70 (1.59)","G (0.42)","M69_70 (1.17)","D (0.48)","J62_63 (0.92)","A02 (1.05)","H49 (2.13)","M73 (1.03)"
"11","N77 (1.42)","I (0.47)","J61 (1.47)","L (0.4)","K64 (1.16)","H (0.45)","J61 (0.9)","M73 (1)","H52 (2.11)","M69_70 (0.99)"
"12","H53 (1.34)","A (0.47)","C19 (1.45)","A (0.4)","C16 (1.12)","C22-23 (0.43)","C20 (0.86)","M69_70 (0.95)","N77 (2.05)","M71 (0.97)"
"13","K66 (1.3)","B (0.45)","N78 (1.44)","R (0.35)","M73 (1.07)","J61 (0.43)","H (0.78)","J59_60 (0.92)","M73 (1.99)","C17 (0.95)"
"14","C19 (1.22)","C31-33 (0.45)","G45 (1.35)","S (0.34)","C22 (0.96)","J58-60 (0.41)","C22-23 (0.72)","K64 (0.92)","N78 (1.95)","C22 (0.95)"
"15","A02 (1.1)","H (0.43)","D (1.31)","O (0.24)","B (0.91)","C24-25 (0.38)","J58-60 (0.66)","B (0.9)","A02 (1.66)","H53 (0.95)"
"16","C23 (0.99)","C19 (0.43)","S95 (1.3)","C (0.2)","R93 (0.87)","J62_63 (0.33)","C24-25 (0.59)","H49 (0.86)","E37-39 (1.47)","C25 (0.89)"
"17","D (0.99)","C22-23 (0.41)","A02 (1.29)","I (0.15)","S95 (0.81)","C31-33 (0.31)","C26 (0.52)","C23 (0.83)","G45 (1.37)","C18 (0.87)"
"18","H52 (0.96)","S (0.38)","H49 (1.28)","P (0.11)","K66 (0.77)","C27 (0.3)","A (0.51)","C16 (0.81)","D (1.29)","N80-82 (0.75)"
"19","M71 (0.91)","L (0.36)","C33 (1.24)","Q (0.01)","D (0.72)","C28 (0.29)","G (0.44)","J58 (0.77)","G46 (1.22)","G45 (0.75)"
"20","J58 (0.9)","G (0.29)","M71 (1.2)",NA,"E36 (0.7)","A (0.28)","C27 (0.44)","C19 (0.74)","K64 (1.21)","J62_63 (0.72)"
"21","C18 (0.89)","C27 (0.28)","H52 (1.16)",NA,"C17 (0.7)","C26 (0.25)","C31-33 (0.42)","D (0.73)","S95 (1.2)","H49 (0.71)"
"22","J61 (0.88)","C24-25 (0.23)","J62_63 (1.08)",NA,"C19 (0.63)","I (0.22)","C10-12 (0.41)","C20-21 (0.63)","E36 (1.12)","D (0.7)"
"23","S95 (0.88)","C26 (0.21)","K66 (1.07)",NA,"C25 (0.62)","G (0.22)","R (0.38)","C25 (0.62)","C19 (1.11)","C24 (0.7)"
"24","F (0.83)","C20 (0.2)","C17 (1.02)",NA,"J62_63 (0.58)","C10-12 (0.22)","L (0.35)","H52-53 (0.6)","C16 (0.99)","C19 (0.64)"
"25","H50 (0.78)","R (0.2)","C16 (1.01)",NA,"C24 (0.56)","C13-15 (0.19)","C29-30 (0.34)","J61 (0.6)","J61 (0.98)","C27 (0.64)"
"26","J59_60 (0.77)","C10-12 (0.19)","E37-39 (1)",NA,"C20 (0.55)","S (0.19)","M72 (0.32)","C30 (0.59)","L (0.98)","J61 (0.57)"
"27","C22 (0.7)","F (0.18)","E36 (0.9)",NA,"G47 (0.54)","L (0.17)","C21 (0.32)","C22 (0.58)","J62_63 (0.91)","K64 (0.57)"
"28","K65 (0.66)","C21 (0.17)","G46 (0.88)",NA,"G45 (0.52)","F (0.16)","I (0.29)","N77 (0.56)","C18 (0.9)","C20 (0.53)"
