"","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"1","L (9.32)","H (2.18)","O (10.52)","C (1.56)","O (7.63)","O (2.62)","H (2.97)","O (5.71)","D (11.69)","F (6.36)"
"2","O (3.19)","G (1.28)","H52 (7.58)","O (1.41)","H50 (4.8)","L (0.97)","D (2.3)","L (3.93)","O (11.19)","H49 (2.64)"
"3","F (2.82)","F (0.96)","H49 (2.92)","H (0.83)","H49 (3.32)","D (0.94)","O (2.28)","D (3.09)","H52 (11.16)","O (1.97)"
"4","A01 (2.81)","C10-12 (0.67)","L (2.6)","E (0.71)","I (1.76)","H (0.77)","G (1.61)","J61 (2.42)","E36 (2.61)","H52 (1.72)"
"5","H52 (2.74)","D (0.55)","D (2.43)","D (0.69)","D (1.51)","A (0.73)","A (1.54)","E36 (1.58)","C29 (2.33)","G47 (1.68)"
"6","D (2.17)","N (0.53)","P (2.27)","Q (0.6)","F (1.41)","G (0.64)","I (0.94)","A01 (1.3)","L (2.33)","I (1.49)"
"7","H49 (2.04)","Q86 (0.52)","C10-12 (1.95)","G (0.49)","A01 (1.24)","R (0.55)","C24-25 (0.84)","C17 (1.16)","J61 (2.07)","D (1.22)"
"8","I (1.72)","K (0.51)","C29 (1.9)","A (0.44)","J61 (1.1)","C10-12 (0.44)","F (0.83)","H52-53 (1.1)","H49 (1.88)","C10-12 (1.15)"
"9","G46 (1.63)","O (0.48)","F (1.77)","N (0.43)","G46 (1.06)","F (0.4)","C10-12 (0.68)","F (1.09)","C10-12 (1.8)","K65 (1.08)"
"10","Q86 (1.37)","C24-25 (0.45)","G46 (1.57)","L (0.38)","S94 (0.86)","E (0.38)","N (0.66)","H49 (0.99)","G47 (1.62)","Q86 (0.99)"
"11","E37-39 (1.26)","C20 (0.41)","E36 (1.38)","R (0.33)","C10-12 (0.83)","K (0.36)","C22-23 (0.63)","Q86 (0.79)","C24 (1.3)","P (0.92)"
"12","C10-12 (1.26)","M69-71 (0.33)","A01 (1.24)","P (0.29)","N77 (0.79)","N (0.31)","E (0.6)","C10-12 (0.78)","A01 (1.3)","G46 (0.89)"
"13","K64 (1.08)","I (0.33)","C28 (1.11)","K (0.28)","G47 (0.72)","P (0.3)","Q86 (0.53)","C29 (0.72)","G46 (1.16)","E37-39 (0.83)"
"14","N77 (1.03)","C22-23 (0.28)","Q86 (1.08)","J (0.18)","E36 (0.68)","C29-30 (0.3)","L (0.51)","C16 (0.65)","C17 (1.1)","K64 (0.72)"
"15","G47 (1.02)","C16-18 (0.27)","I (1.04)","M (0.16)","J59_60 (0.59)","C24-25 (0.29)","C19 (0.46)","H50 (0.65)","P (1.03)","H51 (0.7)"
"16","J61 (0.98)","A (0.22)","C24 (0.97)","I (0.13)","B (0.42)","J61 (0.26)","C28 (0.44)","C20-21 (0.61)","Q86 (0.99)","L (0.67)"
"17","C16 (0.78)","E (0.22)","R90-92 (0.86)","F (0.1)","J58 (0.37)","Q86 (0.23)","K (0.39)","C24 (0.56)","C28 (0.87)","J61 (0.67)"
"18","S94 (0.57)","J61 (0.2)","K64 (0.83)","S (0.1)","C24 (0.37)","I (0.22)","C31-33 (0.39)","P (0.52)","C23 (0.83)","C29 (0.65)"
"19","K65 (0.56)","C29-30 (0.2)","R93 (0.82)","B (0.03)","Q86 (0.36)","C20 (0.2)","C29-30 (0.38)","I (0.51)","C20 (0.73)","R93 (0.63)"
