"","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"1","E36 (11.32)","H (3.13)","E36 (13.66)","E (6.65)","N77 (5.89)","B (4.2)","D (5.52)","E36 (12.65)","E36 (29.83)","E36 (8.61)"
"2","A03 (9.92)","E (2.52)","O (7.88)","R (3.7)","A02 (4.62)","O (3.79)","A (5.07)","D (5.04)","H52 (13.66)","H52 (4.79)"
"3","A01 (8.48)","D (2.51)","H52 (6.74)","A (3.58)","E36 (4.08)","E (2.26)","O (4.07)","A01 (4.82)","H50 (9.81)","E37-39 (3.3)"
"4","E37-39 (8.44)","N (1.65)","P (6.01)","O (3.21)","O (3.59)","D (2.07)","B (3.99)","O (4.81)","B (8.96)","A02 (3.21)"
"5","H52 (8.06)","C16-18 (1.65)","H50 (5.86)","N (2.84)","D (3.46)","R (2.01)","H (3.38)","J61 (3.33)","D (7.54)","H49 (3.12)"
"6","N77 (5.31)","O (1.53)","Q87_88 (5.21)","H (2.61)","R93 (3.22)","L (1.91)","E (2.86)","A02 (2.28)","O (6.72)","C24 (2.7)"
"7","L (4.55)","M69-71 (1.43)","J61 (4.37)","D (2.6)","H49 (3.07)","A (1.82)","C19 (1.87)","H50 (2.2)","J61 (5.04)","B (2.5)"
"8","R93 (4.55)","J61 (1.42)","B (4.31)","P (2.16)","B (2.79)","H (1.38)","N (1.86)","C20-21 (2)","A02 (4.13)","N77 (2.35)"
"9","J61 (3.59)","K (1.35)","R93 (4.17)","B (1.95)","J61 (2.27)","N (1.25)","K (1.74)","R93 (2)","M74_75 (4.13)","H51 (2.2)"
"10","D (3.47)","B (1.34)","S94 (4.03)","Q (1.61)","N78 (2.21)","K (1.14)","J61 (1.67)","S95 (1.96)","H53 (4.08)","C18 (2.13)"
"11","B (3.46)","A (1.33)","H53 (3.88)","K (1.36)","H50 (2.18)","C16-18 (1.13)","C16-18 (1.65)","H49 (1.92)","C33 (4.02)","C23 (2.13)"
"12","A02 (3.27)","C22-23 (1.29)","N80-82 (3.74)","J (1.21)","A01 (2.11)","P (1.11)","C20 (1.57)","C33 (1.9)","M71 (3.92)","R93 (2.07)"
"13","O (3.03)","I (1.26)","M74_75 (3.61)","L (1.16)","C18 (2.04)","J61 (1.08)","M69-71 (1.49)","E37-39 (1.89)","R93 (3.57)","D (1.99)"
"14","K64 (2.62)","M73-75 (1.25)","D (3.54)","M (1.06)","N80-82 (1.97)","M73-75 (0.92)","R (1.47)","C18 (1.79)","L (3.42)","F (1.96)"
"15","H50 (2.56)","P (1.25)","H49 (3.19)","S (1.02)","C16 (1.92)","C24-25 (0.87)","C22-23 (1.47)","K65 (1.68)","H51 (3.39)","C16 (1.86)"
"16","H49 (2.54)","C26 (1.19)","N77 (3.13)","G (0.83)","H53 (1.91)","C20 (0.83)","M73-75 (1.32)","B (1.67)","A01 (3.37)","N79 (1.82)"
"17","N80-82 (2.42)","S (1.01)","C18 (2.81)","I (0.74)","J59_60 (1.89)","M69-71 (0.8)","C24-25 (1.32)","C23 (1.64)","H49 (3.09)","J61 (1.75)"
"18","M74_75 (2.17)","G (0.94)","C23 (2.62)","F (0.71)","A03 (1.86)","C22-23 (0.75)","L (1.29)","N80-82 (1.59)","N80-82 (3.08)","C33 (1.73)"
"19","C23 (2.15)","C21 (0.94)","R90-92 (2.61)","C (0.63)","M74_75 (1.77)","Q87_88 (0.67)","I (1.23)","K66 (1.53)","N77 (3.02)","A01 (1.71)"
"20","S94 (2.1)","Q86 (0.94)","K64 (2.58)",NA,"R90-92 (1.66)","I (0.61)","J62_63 (1.15)","L (1.49)","C23 (2.97)","C22 (1.52)"
"21","N78 (2.09)","R (0.89)","A01 (2.46)",NA,"C26 (1.63)","C19 (0.61)","C26 (1.13)","C16 (1.47)","C17 (2.87)","C25 (1.49)"
"22","M69_70 (1.84)","C13-15 (0.88)","A02 (2.4)",NA,"C22 (1.62)","C31-33 (0.55)","J58-60 (1.03)","H51 (1.44)","C18 (2.77)","C17 (1.47)"
"23","S96 (1.83)","F (0.86)","C17 (2.24)",NA,"H52 (1.62)","J58-60 (0.53)","G (0.99)","S94 (1.41)","E37-39 (2.6)","R90-92 (1.46)"
"24","C18 (1.81)","J58-60 (0.82)","M71 (2.17)",NA,"S96 (1.6)","M72 (0.51)","C21 (0.95)","A03 (1.37)","P (2.55)","A03 (1.37)"
"25","F (1.78)","J62_63 (0.82)","E37-39 (2.17)",NA,"C33 (1.6)","C28 (0.51)","C27 (0.93)","M74_75 (1.35)","S94 (2.4)","C20 (1.36)"
"26","M73 (1.77)","C24-25 (0.8)","M69_70 (2.13)",NA,"M71 (1.5)","C10-12 (0.5)","C10-12 (0.92)","H52-53 (1.25)","M69_70 (2.39)","C27 (1.25)"
"27","H53 (1.73)","C27 (0.8)","L (2.08)",NA,"M69_70 (1.39)","Q86 (0.5)","C31-33 (0.91)","C17 (1.24)","K64 (2.37)","M69_70 (1.23)"
"28","C33 (1.64)","C31-33 (0.77)","G45 (2.01)",NA,"K64 (1.38)","G (0.49)","S (0.9)","N78 (1.24)","G45 (2.25)","K65 (1.2)"
"29","M71 (1.63)","C10-12 (0.75)","C20 (1.96)",NA,"C17 (1.32)","C26 (0.46)","C29-30 (0.85)","C13-15 (1.22)","C19 (2.21)","M71 (1.17)"
"30","C19 (1.55)","C20 (0.71)","C16 (1.92)",NA,"S95 (1.26)","S (0.45)","M72 (0.7)","M69_70 (1.21)","C20 (2.13)","N78 (1.16)"
"31","P (1.52)","L (0.69)","C13-15 (1.9)",NA,"M73 (1.24)","C27 (0.44)","Q86 (0.68)","C22 (1.19)","N78 (2.11)","M73 (1.15)"
"32","Q86 (1.47)","Q87_88 (0.69)","M73 (1.9)",NA,"C24 (1.23)","C13-15 (0.43)","C28 (0.67)","M73 (1.15)","M73 (2.09)","H53 (1.11)"
"33","K66 (1.45)","C29-30 (0.68)","C24 (1.82)",NA,"E37-39 (1.21)","J62_63 (0.42)","F (0.65)","C25 (1.15)","C21 (2.02)","N80-82 (1.11)"
"34","C16 (1.38)","C19 (0.59)","C19 (1.79)",NA,"G47 (1.17)","C21 (0.42)","Q87_88 (0.59)","K64 (1.11)","G46 (1.86)","G45 (1.09)"
"35","C17 (1.37)","C28 (0.52)","N78 (1.69)",NA,"C20 (1.11)","C29-30 (0.39)","C13-15 (0.57)","C30 (1.09)","C16 (1.68)","P (1.08)"
"36","I (1.36)","M72 (0.13)","C33 (1.69)",NA,"C25 (1.09)","F (0.36)","P (0.53)","J59_60 (1.05)","G47 (1.67)","I (1.04)"
